Observation id	petchmorakot_petchindee_accademy.giorgio_petrosyan									
										
Media file(s)										
										
Player #1	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov									
										
Observation date	2019-05-17 14:55:38									
										
Description	quarter of final of Kickboxing World Grand Prix. Singapore. 									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
649.193	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
649.652	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	landed		POINT
652.184	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
653.434	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
655.935	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
656.436	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
657.183	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
659.934	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
665.685	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
666.982	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	None		POINT
679.184	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
687.684	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
690.186	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
690.436	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	back	None		POINT
692.479	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
699.935	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
705.481	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	back	None		POINT
715.936	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		r3					POINT
